Survived,Pclass,Sex,Age,Fare,Age_null,has_cabin,fam_size_medium,fam_size_large,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
0,3,0,0.275,2.1102132003465894,0,0,1,0,0,1,0,1,0,0
1,1,1,0.475,4.2805931204649,0,1,1,0,0,0,0,0,1,0
1,3,1,0.325,2.188856327665703,0,0,0,0,0,1,1,0,0,0
1,1,1,0.4375,3.9908341858524357,0,1,1,0,0,1,0,0,1,0
0,3,0,0.4375,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.246892662898172,1,0,0,0,1,0,0,1,0,0
0,1,0,0.675,3.967694202798607,0,1,0,0,0,1,0,1,0,0
0,3,0,0.025,3.0944457464900235,0,0,0,1,0,1,0,0,0,0
1,3,1,0.3375,2.495953738718064,0,0,1,0,0,1,0,0,1,0
1,2,1,0.175,3.436268471383741,0,0,1,0,0,0,0,0,1,0
1,3,1,0.05,2.8735646395797834,0,1,1,0,0,1,1,0,0,0
1,1,1,0.725,3.3160025355989236,0,1,0,0,0,1,1,0,0,0
0,3,0,0.25,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,0,0.4875,3.4742929367327062,0,0,0,1,0,1,0,1,0,0
0,3,1,0.175,2.180891922715322,0,0,0,0,0,1,1,0,0,0
1,2,1,0.6875,2.833213344056216,0,0,0,0,0,1,0,0,1,0
0,3,0,0.025,3.405355391810819,0,0,0,1,1,0,0,0,0,0
1,2,0,0.4369444537240688,2.6390573296152584,1,0,0,0,0,1,0,1,0,0
0,3,1,0.3875,2.9444389791664403,0,0,1,0,0,1,0,0,1,0
1,3,1,0.3996400527795959,2.1071782966514356,1,0,0,0,0,0,0,0,1,0
0,2,0,0.4375,3.295836866004329,0,0,0,0,0,1,0,1,0,0
1,2,0,0.425,2.6390573296152584,0,1,0,0,0,1,0,1,0,0
1,3,1,0.1875,2.2004637699272855,0,0,0,0,1,0,1,0,0,0
1,1,0,0.35,3.597312260588446,0,1,0,0,0,1,0,1,0,0
0,3,1,0.1,3.0944457464900235,0,0,0,1,0,1,1,0,0,0
1,3,1,0.475,3.4777725458882283,0,0,0,1,0,1,0,0,1,0
0,3,0,0.3682455648549323,2.1071782966514356,1,0,0,0,0,0,0,1,0,0
0,1,0,0.2375,5.575949103146316,0,1,0,1,0,1,0,1,0,0
1,3,1,0.2324233602776029,2.1837114628556327,1,0,0,0,1,0,1,0,0,0
0,3,0,0.3682455648549323,2.1855792552411137,1,0,0,0,0,1,0,1,0,0
0,1,0,0.5,3.357621598945279,0,0,0,0,0,0,0,0,0,1
1,1,1,0.5131804535584243,4.993969182787072,1,1,1,0,0,0,0,0,1,0
1,3,1,0.2324233602776029,2.169053700369523,1,0,0,0,1,0,1,0,0,0
0,2,0,0.825,2.4423470353692043,0,0,0,0,0,1,0,1,0,0
0,1,0,0.35,4.420896324687287,0,0,1,0,0,0,0,1,0,0
0,1,0,0.525,3.970291913552122,0,0,1,0,0,1,0,1,0,0
1,3,0,0.3682455648549323,2.1076888046179385,1,0,0,0,0,0,0,1,0,0
0,3,0,0.2625,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,1,0.225,2.9444389791664403,0,0,1,0,0,1,1,0,0,0
1,3,1,0.175,2.5048481563289,0,0,1,0,0,0,1,0,0,0
0,3,1,0.5,2.348991465808201,0,0,1,0,0,1,0,0,1,0
0,2,1,0.3375,3.091042453358316,0,0,1,0,0,1,0,0,1,0
0,3,0,0.3682455648549323,2.1855792552411137,1,0,0,0,0,0,0,1,0,0
1,2,1,0.0375,3.7513658711253766,0,0,1,0,0,0,1,0,0,0
1,3,1,0.2375,2.1837114628556327,0,0,0,0,1,0,1,0,0,0
0,3,0,0.3682455648549323,2.2027647577118348,1,0,0,0,0,1,0,1,0,0
0,3,0,0.34438818789548764,2.803360380906535,1,0,1,0,1,0,0,1,0,0
1,3,1,0.2324233602776029,2.169053700369523,1,0,0,0,1,0,1,0,0,0
0,3,0,0.32053081093604296,3.1214482048688246,1,0,1,0,0,0,0,1,0,0
0,3,1,0.225,2.9338568698359038,0,0,1,0,0,1,0,0,1,0
0,3,0,0.0875,3.705920919968788,0,0,0,1,0,1,0,0,0,0
0,3,0,0.2625,2.174751721484161,0,0,0,0,0,1,0,1,0,0
1,1,1,0.6125,4.353230991152628,0,1,1,0,0,0,0,0,1,0
1,2,1,0.3625,3.295836866004329,0,0,1,0,0,1,0,0,1,0
0,1,0,0.8125,4.142804513146981,0,1,1,0,0,0,0,1,0,0
1,1,0,0.5056433425932053,3.597312260588446,1,1,0,0,0,1,0,1,0,0
1,2,1,0.2625,2.4423470353692043,0,0,0,0,0,1,1,0,0,0
0,3,0,0.35625,2.1076888046179385,0,0,0,0,0,0,0,1,0,0
1,2,1,0.0625,3.3586377672433594,0,0,1,0,0,1,1,0,0,0
0,3,0,0.1375,3.8691155044168695,0,0,0,1,0,1,0,0,0,0
0,3,0,0.275,2.1076888046179385,0,0,0,0,0,0,0,1,0,0
0,1,0,0.5625,4.436455632600354,0,1,1,0,0,1,0,1,0,0
0,3,0,0.05,3.3638415951183864,0,0,0,1,0,1,0,0,0,0
0,1,0,0.5056433425932053,3.357621598945279,1,0,0,0,0,0,0,1,0,0
1,3,0,0.05935763495320119,2.7878344138303452,1,0,1,0,0,0,0,0,0,0
1,2,1,0.3625,2.4423470353692043,0,1,0,0,0,1,0,0,1,0
0,3,0,0.2375,2.2146605719425225,0,0,0,0,0,1,0,1,0,0
1,3,1,0.2125,2.188856327665703,0,0,0,1,0,1,1,0,0,0
0,3,0,0.325,2.2682524139135403,0,0,1,0,0,1,0,1,0,0
0,2,0,0.4,2.4423470353692043,0,0,0,0,0,1,0,1,0,0
0,3,1,0.2,3.8691155044168695,0,0,0,1,0,1,1,0,0,0
0,2,0,0.2625,4.310799125385514,0,0,0,0,0,1,0,1,0,0
0,3,0,0.325,2.737880811060884,0,0,1,0,0,0,0,1,0,0
1,3,0,0.4,4.05171190165724,0,0,0,0,0,1,0,1,0,0
0,3,0,0.3125,2.157559320943788,0,1,0,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.1855792552411137,1,0,0,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.2027647577118348,1,0,0,0,0,1,0,1,0,0
1,2,0,0.010374999999999999,3.4011973816621555,0,0,1,0,0,1,0,0,0,0
1,3,1,0.375,2.600836116795061,0,0,0,0,0,1,1,0,0,0
0,3,0,0.275,2.302585092994046,0,0,0,0,0,1,0,1,0,0
1,3,0,0.3625,2.3513752571634776,0,0,0,0,0,1,0,1,0,0
1,3,1,0.2324233602776029,2.1733302571367834,1,0,0,0,1,0,1,0,0,0
0,1,0,0.35,3.8732821771117156,0,0,0,0,0,1,0,1,0,0
1,2,1,0.2125,2.4423470353692043,0,0,0,0,0,1,1,0,0,0
1,3,1,0.4125,2.8243506567983707,0,0,1,0,0,1,0,0,1,0
0,3,0,0.2,3.5660053559634015,0,0,0,1,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.2027647577118348,1,0,0,0,0,1,0,1,0,0
1,1,1,0.2875,5.575949103146316,0,1,0,1,0,1,1,0,0,0
0,3,0,0.3,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,0,0.3625,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,0,0.25,2.180891922715322,0,0,0,0,0,1,0,1,0,0
0,1,0,0.575,4.1299529896894684,0,1,1,0,0,1,0,1,0,0
0,3,0,0.325,3.0715352369694915,0,0,1,0,0,1,0,1,0,0
0,3,0,0.7375,2.1102132003465894,0,0,0,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.2027647577118348,1,0,0,0,0,1,0,1,0,0
0,1,0,0.8875,3.57386695198272,0,1,0,0,0,0,0,1,0,0
1,1,0,0.2875,4.164465907853638,0,1,1,0,0,0,0,1,0,0
1,2,1,0.425,3.1780538303479458,0,0,1,0,0,1,0,0,1,0
0,2,0,0.425,3.295836866004329,0,0,1,0,0,1,0,1,0,0
0,3,1,0.35,2.1855792552411137,0,0,0,0,0,1,1,0,0,0
0,3,0,0.3682455648549323,2.1855792552411137,1,0,0,0,0,1,0,1,0,0
0,1,0,0.2625,4.360387947851531,0,1,1,0,0,1,0,1,0,0
0,3,0,0.4125,2.267393053825037,0,0,0,0,0,1,0,1,0,0
0,3,0,0.4625,2.188856327665703,0,0,1,0,0,1,0,1,0,0
0,3,0,0.35,2.1855792552411137,0,0,0,0,0,1,0,1,0,0
1,3,1,0.2625,2.157559320943788,0,0,0,0,0,1,1,0,0,0
1,3,0,0.3682455648549323,2.1719067693519296,1,0,0,0,0,1,0,1,0,0
0,3,0,0.475,2.1855792552411137,0,0,0,0,0,1,0,1,0,0
1,3,1,0.2085659833181582,3.224857896545748,1,0,1,0,1,0,1,0,0,0
0,1,0,0.5875,3.970291913552122,0,1,0,0,0,1,0,1,0,0
0,3,1,0.18125,2.737880811060884,0,0,1,0,0,0,1,0,0,0
0,3,0,0.275,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,1,0.25,2.3818582738885534,0,0,1,0,0,1,1,0,0,0
0,3,1,0.2125,2.738146075922933,0,0,0,0,0,0,1,0,0,0
0,3,0,0.2625,2.188856327665703,0,0,0,0,0,1,0,1,0,0
0,3,0,0.88125,2.169053700369523,0,0,0,0,1,0,0,1,0,0
0,2,0,0.3625,3.091042453358316,0,0,1,0,0,1,0,1,0,0
0,1,0,0.3,5.515526544247129,0,1,1,0,0,0,0,1,0,0
0,3,1,0.025,3.4742929367327062,0,0,0,1,0,1,1,0,0,0
0,2,0,0.2625,4.310799125385514,0,0,1,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.2027647577118348,1,0,0,0,0,1,0,1,0,0
0,2,0,0.40625,3.436268471383741,0,0,1,0,0,0,0,1,0,0
1,2,1,0.40625,2.6390573296152584,0,1,0,0,0,1,1,0,0,0
0,1,0,0.675,4.360387947851531,0,1,1,0,0,1,0,1,0,0
1,3,0,0.15,2.5048481563289,0,0,1,0,0,0,0,0,0,0
0,3,0,0.3682455648549323,2.169053700369523,1,0,0,0,1,0,0,1,0,0
1,3,0,0.3,2.0969990034181696,0,0,0,0,0,1,0,1,0,0
1,3,1,0.20262912745414682,3.1509523813392697,1,1,1,0,0,0,1,0,0,0
0,3,0,0.5625,2.076311648670908,0,0,0,0,0,1,0,1,0,0
0,3,0,0.4125,2.1855792552411137,0,0,0,0,0,0,0,1,0,0
0,3,0,0.25,2.085672091430472,0,0,0,0,0,1,0,1,0,0
0,3,1,0.5875,2.740840023925201,0,0,1,0,0,1,0,0,1,0
1,2,1,0.3625,3.295836866004329,0,0,1,0,0,1,0,0,1,0
0,2,0,0.3125,2.6390573296152584,0,0,0,0,0,1,0,1,0,0
0,2,0,0.2875,2.775447133088262,0,0,0,0,0,0,0,1,0,0
1,1,1,0.2375,3.3062747934011893,0,1,1,0,0,1,1,0,0,0
0,1,0,0.4625,3.9908341858524357,0,1,1,0,0,1,0,1,0,0
0,3,0,0.2,2.3240236363515288,0,0,0,0,0,1,0,1,0,0
0,1,0,0.3,4.384523514872469,0,1,0,0,0,0,0,1,0,0
0,3,1,0.38776634105157326,2.7878344138303452,1,0,1,0,0,0,0,0,1,0
1,3,1,0.275,2.169053700369523,0,0,0,0,0,1,1,0,0,0
1,3,1,0.3,2.8243506567983707,0,0,1,0,0,1,0,0,1,0
0,3,0,0.2375,2.0476928433652555,0,0,0,0,1,0,0,1,0,0
0,2,0,0.225,2.5257286443082556,0,0,0,0,0,1,0,1,0,0
0,2,0,0.2375,3.6309854756950335,0,0,1,0,0,1,0,1,0,0
1,3,0,0.3375,2.174274334826008,0,0,0,0,0,1,0,1,0,0
0,3,1,0.1125,3.5660053559634015,0,0,0,1,0,1,1,0,0,0
0,2,0,0.45625,3.295836866004329,0,1,1,0,0,1,0,1,0,0
0,2,0,0.525,2.6390573296152584,0,0,0,0,0,1,0,0,0,1
0,2,0,0.6375,2.6045398247325453,0,0,0,0,0,1,0,0,0,1
1,1,1,0.275,4.213607983048918,0,1,1,0,0,1,0,0,1,0
0,3,0,0.69375,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,0,0.50625,2.740840023925201,0,0,1,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.1177604059819726,1,0,0,0,0,1,0,1,0,0
0,1,0,0.6375,4.133231886474144,0,0,1,0,0,0,0,1,0,0
1,3,1,0.2,2.167143305297764,0,0,0,0,1,0,1,0,0,0
0,3,0,0.375,2.2027647577118348,0,0,0,0,0,1,0,1,0,0
0,3,0,0.3682455648549323,2.2682524139135403,1,0,0,0,0,1,0,1,0,0
0,3,0,0.0,4.256321678298823,1,0,0,1,0,1,0,0,0,0
0,3,0,0.55,2.8390784635086144,0,0,1,0,0,1,0,1,0,0
1,2,1,0.5,2.8183982582710754,0,0,0,0,0,1,0,0,1,0
0,3,0,0.325,2.1719067693519296,0,0,0,0,0,1,0,1,0,0
0,3,0,0.2125,2.2682524139135403,0,0,0,0,0,1,0,1,0,0
0,3,0,0.0125,3.705920919968788,0,0,0,1,0,1,0,0,0,0
1,3,0,0.1125,3.0692150503137943,0,0,1,0,0,1,0,0,0,0
1,1,1,0.5311009746538576,4.02535169073515,1,1,1,0,0,1,0,0,1,0
0,3,1,0.5625,3.3638415951183864,0,0,0,1,0,1,0,0,1,0
0,1,0,0.5056433425932053,3.2930552230424524,1,0,0,0,0,1,0,1,0,0
0,3,0,0.35,4.05171190165724,0,0,0,0,0,1,0,1,0,0
0,1,0,0.7625,3.5409593240373143,0,1,0,0,0,1,0,1,0,0
0,3,0,0.05,3.405355391810819,0,0,0,1,1,0,0,0,0,0
1,3,1,0.0125,2.495953738718064,0,0,1,0,0,1,1,0,0,0
0,3,0,0.2625,2.188856327665703,0,0,0,0,0,1,0,1,0,0
0,1,0,0.7,3.4561841799918147,0,1,0,0,0,0,0,1,0,0
0,3,0,0.225,2.180891922715322,0,0,1,0,0,1,0,1,0,0
0,3,0,0.01164288103431179,3.275887339030031,1,0,0,1,0,1,0,0,0,0
0,1,1,0.625,3.391567832686312,0,1,0,0,0,0,1,0,0,0
0,2,0,0.375,2.6390573296152584,0,0,0,0,0,1,0,1,0,0
0,3,0,0.45,0.0,0,0,0,0,0,1,0,1,0,0
0,3,1,0.029690632874022693,4.256321678298823,1,0,0,1,0,1,1,0,0,0
0,2,0,0.4369444537240688,2.775708849576025,1,0,0,0,0,0,0,1,0,0
0,3,0,0.1125,3.4777725458882283,0,0,0,1,0,1,0,0,0,0
1,2,0,0.0125,3.6888794541139363,0,1,1,0,0,1,0,0,0,0
1,3,1,0.05,3.1365805821413706,0,0,1,0,0,1,1,0,0,0
0,1,0,0.5056433425932053,3.9318256327243257,1,1,0,0,0,1,0,1,0,0
1,3,1,0.3757826758201513,2.803360380906535,1,0,1,0,1,0,0,0,1,0
1,1,0,0.5625,3.3160025355989236,0,0,0,0,0,1,0,1,0,0
0,3,0,0.5,2.803360380906535,0,0,1,0,1,0,0,1,0,0
0,3,0,0.45,2.1855792552411137,0,0,0,0,0,1,0,1,0,0
1,2,1,0.4,2.6390573296152584,0,0,0,0,0,1,0,0,1,0
0,2,0,0.2375,2.6390573296152584,0,0,0,0,0,1,0,1,0,0
1,3,1,0.2375,2.180891922715322,0,0,1,0,0,1,1,0,0,0
1,2,0,0.0375,3.295836866004329,0,1,1,0,0,1,0,0,0,0
1,1,1,0.55,3.357621598945279,0,1,0,0,0,0,0,0,1,0
1,1,1,0.725,4.993969182787072,0,1,0,0,0,0,1,0,0,0
0,3,0,0.3682455648549323,2.169053700369523,1,0,0,0,1,0,0,1,0,0
